Day,target,STOCH_slowk,STOCH_slowd,MACD,MACD_hist,CCI_5,CCI_10,CCI_21,CCI_50,MOM_5,MOM_10,MOM_21,RSI_5,RSI_10,RSI_21,RSI_50
2019-08-17,0.0,34.65190494283519,24.28883708123912,-10.162339754428103,-141.56889768260487,-38.10248684882425,-81.83113437260062,-48.08843250886146,-54.17473484316535,-1150.8720700000013,-1710.2246090000008,754.0664069999984,30.06777508118582,40.006104850680664,47.09750677674435,51.979241137486575
2019-08-18,1.0,41.61249673360393,33.567301457700104,-41.378135967443086,-138.22775511649587,79.44147488283501,-60.059197502181036,-48.947588846394346,-46.38505623176643,-550.0195310000017,-1620.5966800000006,792.9501949999994,36.50955797939919,42.41168605019851,47.96490775433717,52.31026863630128
2019-08-19,1.0,62.37036045355689,46.21158737666531,-19.873927485135937,-93.37883730735098,166.66666666666708,-3.762591036478806,-15.757473444246163,-6.550299152310164,864.3496090000008,-946.8828119999998,1396.9082030000009,59.704647071974804,52.901738469261225,52.08849518617519,53.93031178144149
2019-08-20,0.0,79.4600410383898,61.14763274185018,-14.990289449307966,-70.7961594172184,92.38197322733686,17.77571813741007,-16.617174916356515,-0.7762738952386408,451.6865239999988,-590.7919920000004,1155.8085939999983,53.19453459989754,50.179947559710506,50.95229284375515,53.43392922568887
2019-08-21,0.0,66.9909970294598,69.60713284046881,-60.865365399024085,-93.33698829354762,-52.975671502223676,-48.865159442365616,-77.45264040175849,-47.58768988293927,-236.28906199999983,-1385.5292969999991,52.421875,34.15186506523732,40.66891040460151,46.58720617901616,51.45685147439567
2019-08-22,0.0,42.609450044324355,63.02016270405796,-96.67169124681823,-103.31465131307341,-99.0383699660713,-92.17311757408504,-103.5104099586416,-68.4490592174855,-100.6884769999997,-1251.560547000001,-268.6132809999999,33.98174949961156,40.573318045355485,46.54037061394588,51.435126070448455
2019-08-23,1.0,32.11494364037125,47.238463571385104,-101.53378755210724,-86.54139809468994,-32.9756718073309,-15.037556298142805,-71.82718156548853,-42.24663062937055,62.15429700000095,-487.8652340000008,-110.20996100000048,47.03772298410331,46.14221976980249,48.684968941875454,52.24960252975306
2019-08-24,0.0,35.993048271825664,36.90581398550706,-123.96982943742296,-87.18195198400451,-52.272973370618764,-58.50329549656705,-79.85424971452795,-52.76920938943115,-756.0927730000003,108.25683600000048,-661.765625,38.511336424163694,42.20631845486582,46.91509205159732,51.46087226494872
2019-08-25,0.0,37.62278745418146,35.2435931221261,-141.84574476708804,-84.04629385093568,-42.15351158485212,-73.58666190756853,-76.2786992080274,-54.455098929949855,-624.7148439999983,-173.02831999999944,-831.6669919999986,37.77134697148614,41.86325808699941,46.76076098894984,51.39242550893579
2019-08-26,1.0,46.802487945231384,40.13944122374614,-135.70334350381017,-62.32311407012625,93.2449150487841,-2.038753173330105,-51.733446225869535,-34.03207490817954,232.7705079999996,-3.518554000000222,-1434.8330069999993,50.62004515134849,47.044383259144844,48.681061611721205,52.09675531611337
2019-08-27,0.0,49.766333677244994,44.73053635888592,-144.12783080461668,-56.5980810967462,-22.41545111393356,-48.78322531780636,-60.60647287358789,-44.29372958253015,54.444336000000476,-46.24414099999922,-1292.6689449999994,41.9771310751528,43.60018663945552,47.25338989967746,51.48941418384457
2019-08-28,0.0,40.76697634050026,45.778599320992186,-183.47365082884244,-76.75512089677757,-159.43748277822706,-133.57121168239394,-91.5696780723433,-75.03332659186864,-653.5419920000004,-591.3876949999994,-2187.5458980000003,28.051053016723117,36.662808686723494,44.09491046164977,50.10300417057657
2019-08-29,0.0,17.068323712671255,35.86721124347215,-231.69142945946078,-99.97831962191674,-132.96732164768744,-199.76446315603414,-133.52294628460382,-113.93842240550588,-649.7607430000007,-1405.853516000001,-2456.2070320000003,22.714506082633402,33.324970894052235,42.408668205054674,49.33505194963509
2019-08-30,1.0,9.684447595850521,22.50658254967399,-259.81069350955113,-102.47806693760566,-83.31057929494466,-145.95192278891113,-136.72603066898753,-111.27650013398515,-540.34375,-1165.0585939999983,-2264.7626949999994,28.812558294289094,35.66910864984927,43.22979055679001,49.61889523181126
